Organization Name,address1,address2,city,State,zip,ServiceSummary
Marion County Homeless Council,N. 108 Magnolia Ave,,,FL,34475,Rapid Re-Housing
Peace River Center,,,,FL,,Emergency Shelter
Martha's House,,,,FL,,Emergency Shelter
Hope Harbour,,,,GA,,Emergency Shelter
Project Safe,,,,GA,,Emergency Shelter
SAFE Shelter,,,,GA,,Emergency Shelter
HOPE Atlanta (Traveler's Aid),,,,GA,30303,Rapid Re-Housing
United Way of Metro Atlanta,,,,GA,30060,Rapid Re-Housing
The Center for Family Resources,,,,GA,30080,Rapid Re-Housing
The Center for Family Resources,,,,GA,30066,Rapid Re-Housing
MUST Ministries,,,,GA,30008,Rapid Re-Housing
MUST Ministries,,,,GA,30064,Rapid Re-Housing
Marietta Housing Authority,,,,GA,30060,Permanent Supportive Housing
liveSAFE Resources,,,,GA,30064,Emergency Shelter
Hope Atlanta,,,,GA,30126,Rapid Re-Housing
Cobb/Douglas CSB,,,,GA,30080,Permanent Supportive Housing
Partnership Against Domestic Violence,,,,GA,,Permanent Supportive Housing
DCA,,,,GA,30344,Permanent Supportive Housing
North Fulton Community Charities,,,,GA,30076,Emergency Shelter
Women's Resource Center,,,,GA,,Transitional Housing
Women's Resource Center,,,,GA,,Emergency Shelter
"International Women's House, Inc.",,,,GA,,Emergency Shelter
Fight Abuse in the Home (FAITH),,,,GA,30525,Rapid Re-Housing
HOPE Atlanta (Traveler's Aid),,,,GA,30349,Rapid Re-Housing
"Safe Haven Transitional, Inc.",,,,GA,,Transitional Housing
liveSAFE Resources,,,,GA,30064,Transitional Housing
The Center for Family Resources,,,,GA,30060,Rapid Re-Housing
Hope Atlanta,,,,GA,30080,Rapid Re-Housing
SHARE House Inc.,,,,GA,30134,Rapid Re-Housing
Peace Place Inc.,,,,GA,30646,Rapid Re-Housing
Partnership Against Domestic Violence Inc. (PADV),,,,GA,30043,Rapid Re-Housing
Ninth District Opportunity,,,,GA,30513,Rapid Re-Housing
Georgia Mountain Women's Center,,,,GA,30531,Rapid Re-Housing
Flint Circuit Council on Family Violence,,,,GA,30253,Rapid Re-Housing
Citizens Against Violence Inc.,,,,GA,30459,Rapid Re-Housing
"Battered Women's Shelter, Inc.,- HIC",,,,GA,31601,Rapid Re-Housing
SAFE Shelter,,,,GA,,Transitional Housing
liveSAFE Resources,,,,GA,30126,Rapid Re-Housing
SAFE Shelter,,,,GA,,Emergency Shelter
Georgia Department of Community Affairs,,,,GA,31757,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31211,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31707,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31602,Permanent Supportive Housing
Georgia Mountain Women's Center,,,,GA,30577,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31794,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,39842,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31055,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30012,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30141,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31316,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30253,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30501,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30168,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31634,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30736,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31558,Permanent Supportive Housing
Step Up on Second,3859 Austin Circle,,,GA,30032,Permanent Supportive Housing
Forsyth County Family Haven Inc.,,,,GA,30028,Emergency Shelter
Northwest Georgia Family Crisis Center Inc.,,,,GA,30720,Emergency Shelter
Ninth District Opportunity,,,,GA,30523,Emergency Shelter
Wayne County Protective Agency,,,,GA,31545,Emergency Shelter
Tri-County Protective Agency Inc.,,,,GA,31310,Emergency Shelter
Support in Abusive Family Emergencies (SAFE),,,,GA,30512,Emergency Shelter
Refuge Domestic Violence Shelter Inc.,,,,GA,30475,Emergency Shelter
N.O.A.'s Ark Inc.,,,,GA,30533,Emergency Shelter
Macon Bibb EOC,,,,GA,31210,Emergency Shelter
Clayton Co. Association Against Family Violence,,,,GA,30287,Emergency Shelter
"Circle of Love, Inc",,,,GA,30642,Emergency Shelter
Christian League for Battered Women Inc.,,,,GA,30120,Emergency Shelter
Cherokee Family Violence Center Inc,,,,GA,30169,Emergency Shelter
SHARE House Inc.,,,,GA,30133,Transitional Housing
Cherokee Family Violence Center Inc,,,,GA,30169,Transitional Housing
Shepherd's Rest Ministries Inc.,,,,GA,30132,Transitional Housing
Glynn Community Crisis Center,,,,GA,31520,Transitional Housing
Women In Need of God's Shelter Inc.,,,,GA,31027,Transitional Housing
Georgia Department of Community Affairs,,,,GA,30265,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31093,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31021,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31705,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30014,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31082,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30474,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31602,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31539,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30401,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31326,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31324,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31061,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31211,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30052,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30680,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,30078,Permanent Supportive Housing
Georgia Department of Community Affairs,,,,GA,31313,Permanent Supportive Housing
Peace Place Inc.,,,,GA,30680,Transitional Housing
Georgia Mountain Women's Center,,,,GA,30538,Transitional Housing
Gateway House Inc.,,,,GA,30503,Transitional Housing
Forsyth County Family Haven Inc.,,,,GA,30028,Transitional Housing
Fayette County Council on Domestic Violence Inc.,,,,GA,30214,Transitional Housing
United Way of Metropolitan Atlanta - SSVF,,,,GA,30291,Rapid Re-Housing
Women In Need of God's Shelter Inc.,,,,GA,31021,Emergency Shelter
Waycross Area Shelter for Abused Persons,,,,GA,31501,Emergency Shelter
Tifton Judicial Circuit Shelter Inc.,,,,GA,31794,Emergency Shelter
Southwest Georgia Community Action Council,,,,GA,31768,Emergency Shelter
Shepherd's Rest Ministries Inc.,,,,GA,30132,Emergency Shelter
SHARE House Inc.,,,,GA,30133,Emergency Shelter
Salvation Army (Warner Robins),,,,GA,31093,Emergency Shelter
Salvation Army (Gwinnett),,,,GA,30044,Emergency Shelter
Project ReNeWal,,,,GA,30012,Emergency Shelter
Polk County Women's Shelter,,,,GA,30125,Emergency Shelter
Peace Place Inc.,,,,GA,30680,Emergency Shelter
Partnership Against Domestic Violence Inc. (PADV),,,,GA,30043,Emergency Shelter
Northeast Georgia Council on Domestic Violence Inc.,,,,GA,30643,Emergency Shelter
North Georgia Mountain Crisis Network Inc.,,,,GA,30513,Emergency Shelter
Liberty House of Albany Inc.,,,,GA,31702,Emergency Shelter
Hospitality House for Women Inc.,,,,GA,30162,Emergency Shelter
"Hinesville, City of",,,,GA,31313,Emergency Shelter
"Harmony House Domestic Violence Shelter, Inc.",,,,GA,30241,Emergency Shelter
Halcyon Home for Battered Women Inc.,,,,GA,31799,Emergency Shelter
Glynn Community Crisis Center,,,,GA,31520,Emergency Shelter
Georgia Mountain Women's Center,,,,GA,30531,Emergency Shelter
Gateway House Inc.,,,,GA,30503,Emergency Shelter
Flint Circuit Council on Family Violence,,,,GA,30253,Emergency Shelter
Fight Abuse in the Home (FAITH),,,,GA,30525,Emergency Shelter
Fayette County Council on Domestic Violence Inc.,,,,GA,30214,Emergency Shelter
Family Crisis Center of Walker Dade Catoosa & Chatooga Counties Inc.,,,,GA,30728,Emergency Shelter
Crisis Line and Safe House of Georgia,,,,GA,31201,Emergency Shelter
Colquitt County Serenity House Project,,,,GA,31768,Emergency Shelter
Citizens Against Violence Inc.,,,,GA,30458,Emergency Shelter
Carroll County Emergency Shelter DV,,,,GA,30117,Emergency Shelter
"Camden Community Crisis Center, Inc.",,,,GA,31558,Emergency Shelter
"Battered Women's Shelter, Inc.,- HIC",,,,GA,31601,Emergency Shelter
Zion Hill Community Development Corporation,,,,GA,30344,Rapid Re-Housing
"Project Community Connections, Inc.",,,,GA,30313,Rapid Re-Housing
"Nicholas House, Inc.",,,,GA,30313,Rapid Re-Housing
Partnership Against Domestic Violence,,,,GA,,Rapid Re-Housing
3 Keys,1216 Murphy Ave,,,GA,30310,Permanent Supportive Housing
Victim Advocates Reaching Out (VARO),,,,GU,,Emergency Shelter
Guma Mami Inc.,,,,GU,96910,Transitional Housing
Catholic Charities of the Diocese of Agana dba Catholic Social Service,,,,GU,96913,Transitional Housing
Catholic Charities of the Diocese of Agana dba Catholic Social Service,,,,GU,96913,Rapid Re-Housing
The Salvation Army,,,,GU,96913,Rapid Re-Housing
Alternative Structures International,,,,HI,96792,Rapid Re-Housing
YWCA of Kauai,,,,HI,,Emergency Shelter
Women Helping Women,,,,HI,,Emergency Shelter
Child and Family Service,,,,HI,,Emergency Shelter
Parents and Children Together,,,,HI,,Transitional Housing
Kalihi-Palama Health Center,,,,HI,96817,Rapid Re-Housing
Gregory House Programs,,,,HI,96817,Rapid Re-Housing
U.S. Veterans Initiative,,,,HI,96707,Rapid Re-Housing
Catholic Charities Hawaii,1822 keemoku,,,HI,96822,Permanent Supportive Housing
Catholic Charities Hawaii,,,,HI,96822,Rapid Re-Housing
Child and Family Service,,,,HI,,Transitional Housing
Child and Family Service,,,,HI,,Emergency Shelter
Child and Family Service,,,,HI,,Emergency Shelter
Child and Family Service,,,,HI,,Transitional Housing
Parents and Children Together,,,,HI,,Emergency Shelter
The Shelter,,,,HI,,Transitional Housing
ALEA Bridge,,,,HI,96786,Rapid Re-Housing
Gregory House Programs,,,,HI,96817,Rapid Re-Housing
Child and Family Service,,,,HI,,Emergency Shelter
Child and Family Service,,,,HI,,Transitional Housing
Primary Health Care (PHC),,,,IA,50056,Rapid Re-Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52240,Rapid Re-Housing
"Community Action of Southeast Iowa, Inc (CAOFSEIA)",,,,IA,52641,Rapid Re-Housing
Central Iowa Shelter & Services,,,,IA,50309,Rapid Re-Housing
Meskwaki Family Services - Transitional Housing,,,,IA,52339,Transitional Housing
Friends of the Family (FOFIA),,,,IA,50701,Other Permanent Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52233,Rapid Re-Housing
DV Waypoint Services DVSA - Transitional Housing (TH),,,,IA,,Transitional Housing
Waypoint Services,,,,IA,52403,Rapid Re-Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52233,Rapid Re-Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52233,Rapid Re-Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52233,Rapid Re-Housing
Hawkeye Area Community Action Program (HACAP),,,,IA,52403,Rapid Re-Housing
MCSA - DV Shelter,,,,IA,52761,Emergency Shelter
Family Resources,,,,IA,52730,Emergency Shelter
Emergency Residence Project (ERP),,,,IA,50010,Emergency Shelter
NE Council on Domestic Violence,,,,IA,68776,Emergency Shelter
Council on Sexual Assault and Domestic Violence (CSADV),,,,IA,51105,Emergency Shelter
Council on Sexual Assault and Domestic Violence (CSADV),,,,IA,51105,Rapid Re-Housing
City of Sioux City,,,,IA,51101,Rapid Re-Housing
Friends of the Family (FOFIA),,,,IA,50677,Emergency Shelter
Family Resources,,,,IA,52803,Transitional Housing
Children and Families of Iowa,,,,IA,50316,Emergency Shelter
YWCA of Clinton,,,,IA,52732,Rapid Re-Housing
Youth & Shelter Services (YSS),,,,IA,50401,Rapid Re-Housing
Youth & Shelter Services (YSS),,,,IA,50010,Transitional Housing
Willis Dady,,,,IA,52403,Rapid Re-Housing
Waterloo Housing Authority,,,,IA,50701,Permanent Supportive Housing
"Upper Des Moines Opportunity, Inc. (UDMO)",,,,IA,50501,Rapid Re-Housing
Successful Living,,,,IA,52240,Transitional Housing
Successful Living,,,,IA,52240,Permanent Supportive Housing
Shelter House Community Shelter,,,,IA,52240,Rapid Re-Housing
Muscatine Center for Social Action (MCSA),,,,IA,52761,Rapid Re-Housing
Mason City Housing Authority,,,,IA,50401,Permanent Supportive Housing
Iowa City Housing Authority,,,,IA,52246,Permanent Supportive Housing
Humility Homes and Services Inc (HHSI),,,,IA,52802,Rapid Re-Housing
Humility Homes and Services Inc (HHSI),,,,IA,52802,Rapid Re-Housing
Helping Services/Domestic and Sexual Abuse Resource Center,,,,IA,52162,Emergency Shelter
Helping Services/Domestic and Sexual Abuse Resource Center,,,,IA,52101,Transitional Housing
Friends of the Family (FOFIA),,,,IA,50401,Rapid Re-Housing
Friends of the Family (FOFIA),,,,IA,50677,Permanent Supportive Housing
Friends of the Family (FOFIA),,,,IA,50701,Rapid Re-Housing
Friends of the Family (FOFIA),,,,IA,52404,Emergency Shelter
Friends of the Family (FOFIA),,,,IA,50677,Rapid Re-Housing
Friends of the Family (FOFIA),,,,IA,50701,Rapid Re-Housing
Family Resources,,,,IA,52803,Rapid Re-Housing
Family Crisis Centers of Northwest Iowa,,,,IA,51250,Transitional Housing
Family Crisis Centers of Northwest Iowa,,,,IA,51250,Emergency Shelter
Family Crisis Centers of Northwest Iowa,,,,IA,51250,Rapid Re-Housing
Family Alliance for Veterans of America (FAVA),,,,IA,50436,Rapid Re-Housing
Emergency Residence Project (ERP),,,,IA,50010,Rapid Re-Housing
East Central Development Corporation (ECDC),,,,IA,52001,Permanent Supportive Housing
East Central Development Corporation (ECDC),,,,IA,52001,Rapid Re-Housing
Dubuque Community YMCA/YWCA,,,,IA,52001,Emergency Shelter
Domestic/Sexual Assault Outreach Center (D/SAOC),,,,IA,50501,Emergency Shelter
Domestic/Sexual Assault Outreach Center (D/SAOC),,,,IA,50501,Transitional Housing
Domestic Violence Intervention Program (DVIP),,,,IA,52240,Transitional Housing
Domestic Violence Intervention Program (DVIP),,,,IA,52241,Emergency Shelter
Domestic Violence Intervention Program (DVIP),,,,IA,52240,Rapid Re-Housing
Davenport Housing Authority,,,,IA,52801,Permanent Supportive Housing
Crisis Intervention Services of Mahaska County,,,,IA,52577,Transitional Housing
Crisis Intervention Services of Mahaska County,,,,IA,52577,Emergency Shelter
Crisis Intervention Service/NIAD Center for Human Development,,,,IA,50627,Transitional Housing
Crisis Intervention Service/NIAD Center for Human Development,,,,IA,50401,Rapid Re-Housing
Crisis Intervention & Advocacy Center (CIAC),,,,IA,50003,Transitional Housing
Crisis Intervention & Advocacy Center (CIAC),,,,IA,50003,Rapid Re-Housing
Community Housing Initiatives (CHI),,,,IA,50703,Permanent Supportive Housing
Cedar Rapids Housing Authority,,,,IA,52403,Permanent Supportive Housing
Assault Care Center Extending Shelter & Support (ACCESS),,,,IA,50014,Rapid Re-Housing
Assault Care Center Extending Shelter & Support (ACCESS),,,,IA,50014,Emergency Shelter
WDM Human Services,,,,IA,50315,Rapid Re-Housing
"Primary Health Care, Inc.",,,,IA,50316,Rapid Re-Housing
"Primary Health Care, Inc.",,,,IA,50314,Rapid Re-Housing
Children and Families of Iowa,,,,IA,50316,Rapid Re-Housing
Children and Families of Iowa,,,,IA,50316,Rapid Re-Housing
Bingham Crisis Center,,,,ID,,Emergency Shelter
IHFA,,,,ID,83404,Permanent Supportive Housing
IHFA,,,,ID,83605,Permanent Supportive Housing
Domestic Violence and Sexual Assault Center,,,,ID,83402,Emergency Shelter
Homeless Veterans Fellowship,,,,ID,83201,Rapid Re-Housing
Homeless Veterans Fellowship,,,,ID,83303,Rapid Re-Housing
El-Ada Community Action Partnership,2250 S Vista Ave,,,ID,83705,Rapid Re-Housing
Bingham Crisis Center,,,,ID,,Transitional Housing
IHFA,,,,ID,83401,Rapid Re-Housing
IHFA,,,,ID,83501,Rapid Re-Housing
Safe Passage Violence Prevention Center,,,,ID,83815,Rapid Re-Housing
Family Services Alliance,,,,ID,83201,Rapid Re-Housing
The Advocates,,,,ID,,Transitional Housing
Priest River Ministries,,,,ID,83856,Emergency Shelter
YWCA of Lewiston,,,,ID,,Emergency Shelter
The Advocates,,,,ID,,Emergency Shelter
Family Crisis Center,,,,ID,,Emergency Shelter
Voices Against Violence,,,,ID,,Emergency Shelter
Safe Passage Violence Prevention Center,,,,ID,,Emergency Shelter
Oneida Crisis Center,,,,ID,,Emergency Shelter
Lemhi County Crisis Center,,,,ID,,Emergency Shelter
Family Services Alliance,,,,ID,,Emergency Shelter
Crossroads Harbor,,,,ID,83318,Emergency Shelter
Alternatives to Violence on the Palouse,,,,ID,,Emergency Shelter
Advocates Against Family Violence,,,,ID,83606,Emergency Shelter
CATCH,,,,ID,83702,Rapid Re-Housing
Boise Veterans Administration (VAMC),,,,ID,83701,Permanent Supportive Housing
Women's and Children's Alliance (WCA),,,,ID,83703,Transitional Housing
Women's and Children's Alliance (WCA),,,,ID,83703,Emergency Shelter
El Ada Inc.,,,,ID,83705,Transitional Housing
Idaho Youth Ranch,,,,ID,83704,Emergency Shelter
El Ada Inc.,,,,ID,83705,Rapid Re-Housing
CATCH,,,,ID,83704,Rapid Re-Housing
CATCH,,,,ID,83702,Rapid Re-Housing
Boise City Ada County Housing Authority (BCACHA),,,,ID,83705,Transitional Housing
Boise City Ada County Housing Authority (BCACHA),,,,ID,83702,Permanent Supportive Housing
Boise City Ada County Housing Authority (BCACHA),,,,ID,83702,Permanent Supportive Housing
"Public Action to Deliver Shelter, Inc.",,,,IL,60506,Permanent Supportive Housing
Courage Connection,,,,IL,,Emergency Shelter
Courage Connection,,,,IL,,Transitional Housing
Cunningham Children's Home,,,,IL,61802,Transitional Housing
Housing Authority of Champaign County,,,,IL,61820,Permanent Supportive Housing
TLS Veterans,,,,IL,60085,Rapid Re-Housing
HOPE,,,,IL,,Emergency Shelter
Freedom House,,,,IL,,Emergency Shelter
Mid-Central Community Action,,,,IL,61701,Transitional Housing
The Salvation Army McLean County,,,,IL,61701,Rapid Re-Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Shelter Care Ministries,,,,IL,61103,Rapid Re-Housing
Shelter Care Ministries,,,,IL,61102,Permanent Supportive Housing
Transitional Living Services,,,,IL,60050,Rapid Re-Housing
Turning Point,,,,IL,,Emergency Shelter
Christian Community Health Center,,,,IL,60619,Permanent Supportive Housing
A Safe Place,,,,IL,,Emergency Shelter
A Safe Place,,,,IL,,Rapid Re-Housing
A Safe Place,,,,IL,,Other Permanent Housing
Crosspoint Human Services,,,,IL,61832,Rapid Re-Housing
Crosspoint at the Y,,,,IL,61832,Permanent Supportive Housing
Mid-Central Community Action,,,,IL,61701,Emergency Shelter
Salvation Army,,,,IL,60901,Rapid Re-Housing
Project Oz,,,,IL,61701,Emergency Shelter
Home Sweet Home Ministries,,,,IL,61701,Rapid Re-Housing
Kankakee County Community Services,,,,IL,60901,Rapid Re-Housing
Chestnut Health Systems,,,,IL,61701,Permanent Supportive Housing
Wings,,,,IL,,Transitional Housing
Project Oz,,,,IL,61701,Transitional Housing
Home Sweet Home Ministries,,,,IL,61701,Rapid Re-Housing
Oasis Women's Center,,,,IL,,Emergency Shelter
Lovell Federal Health Center,,,,IL,60064,Permanent Supportive Housing
Center for Prevention of Abuse,,,,IL,61614,Permanent Supportive Housing
Remedies,,,,IL,,Emergency Shelter
Remedies,,,,IL,,Transitional Housing
Su Casa,,,,IL,,Transitional Housing
Heartland Human Care Services,,,,IL,60640,Rapid Re-Housing
Catholic Charities,,,,IL,60085,Rapid Re-Housing
Health Department,,,,IL,60085,Permanent Supportive Housing
Alexian Brothers,,,,IL,60085,Permanent Supportive Housing
Veterans Affairs,,,,IL,61603,Permanent Supportive Housing
The Salvation Army VA Programs,,,,IL,61530,Rapid Re-Housing
The Salvation Army VA Programs,,,,IL,61554,Rapid Re-Housing
The Salvation Army VA Programs,,,,IL,61603,Rapid Re-Housing
The Salvation Army VA Programs,,,,IL,61520,Rapid Re-Housing
Unity Parenting & Counseling Inc.,,,,IL,60637,Permanent Supportive Housing
Phoenix Community Development Services,,,,IL,61603,Permanent Supportive Housing
Phoenix Community Development Services,,,,IL,61604,Rapid Re-Housing
Phoenix Community Development Services,,,,IL,61554,Rapid Re-Housing
Phoenix Community Development Services,,,,IL,61605,Permanent Supportive Housing
Phoenix Community Development Services,,,,IL,61604,Rapid Re-Housing
Salvation Army,,,,IL,61603,Rapid Re-Housing
Salvation Army,,,,IL,61554,Rapid Re-Housing
Family Rescue,,,,IL,,Rapid Re-Housing
Chicago House and Social Service Agency,,,,IL,60615,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60626,Other Permanent Housing
Heartland Human Care Services,,,,IL,60640,Rapid Re-Housing
Heartland Human Care Services,,,,IL,60640,Rapid Re-Housing
Safe Passage Inc.,,,,IL,,Emergency Shelter
AIDS Foundation of Chicago,,,,IL,60606,Rapid Re-Housing
Family Rescue,,,,IL,,Transitional Housing
Christian Community Health Center,,,,IL,60619,Permanent Supportive Housing
Voices DV,,,,IL,,Rapid Re-Housing
Wings,,,,IL,,Emergency Shelter
Neopolitan Lighthouse,,,,IL,,Emergency Shelter
Korean American Women in Need,,,,IL,,Transitional Housing
Family Rescue,,,,IL,,Emergency Shelter
Family Rescue,,,,IL,,Transitional Housing
Connections for Abused Women and their Children,,,,IL,,Emergency Shelter
APNA GHAR,,,,IL,,Transitional Housing
APNA GHAR,,,,IL,60661,Emergency Shelter
Crisis Center Foundation,,,,IL,,Rapid Re-Housing
YWCA of Quincy,,,,IL,62301,Permanent Supportive Housing
YWCA of Quincy,,,,IL,62301,Permanent Supportive Housing
YWCA of Quincy,,,,IL,62301,Permanent Supportive Housing
YWCA of Quincy,,,,IL,62301,Permanent Supportive Housing
Center for Prevention of Abuse,,,,IL,61554,Emergency Shelter
Center for Prevention of Abuse,,,,IL,61614,Emergency Shelter
Mutual Ground,,,,IL,,Emergency Shelter
QUANADA,,,,IL,,Transitional Housing
QUANADA,,,,IL,,Rapid Re-Housing
QUANADA,,,,IL,,Emergency Shelter
MCS Community Services,,,,IL,62650,Permanent Supportive Housing
MCS Community Services,,,,IL,62650,Permanent Supportive Housing
Crisis Center Foundation,,,,IL,,Emergency Shelter
Salvation Army Quincy,,,,IL,62301,Rapid Re-Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60626,Permanent Supportive Housing
Housing Opportunities for Women,,,,IL,60649,Permanent Supportive Housing
Inspiration Corporation,,,,IL,60640,Permanent Supportive Housing
Interfaith Housing Development Corp.,,,,IL,60624,Permanent Supportive Housing
South Suburban Family Shelter,,,,IL,60430,Rapid Re-Housing
Crisis Center for South Suburbia,,,,IL,,Rapid Re-Housing
Thresholds,,,,IL,60085,Permanent Supportive Housing
Violence Prevention Center,,,,IL,62220,Emergency Shelter
MIdwest Shelter for Homeless Veterans,,,,IL,60187,Rapid Re-Housing
"Public Action to Deliver Shelter, Inc.",,,,IL,60506,Rapid Re-Housing
Catholic Charities,,,,IL,60085,Rapid Re-Housing
YWCA Evanston/North Shore,,,,IL,,Permanent Supportive Housing
The Women's Center,,,,IL,,Transitional Housing
Cairo Women's Center,,,,IL,,Emergency Shelter
Cairo Women's Center,,,,IL,,Emergency Shelter
BCMW Community Services,,,,IL,62801,Rapid Re-Housing
The Women's Center,,,,IL,,Emergency Shelter
So. IL Coalition for the Home.,,,,IL,62959,Permanent Supportive Housing
Alexian Brothers,,,,IL,60085,Permanent Supportive Housing
Champaign County Regional Planning Commission,,,,IL,61802,Permanent Supportive Housing
Champaign County Regional Planning Commission,,,,IL,61802,Permanent Supportive Housing
Salvation Army,,,,IL,61820,Rapid Re-Housing
DuPage County Community Services,,,,IL,60187,Rapid Re-Housing
360 Youth Services,,,,IL,60540,Rapid Re-Housing
Family Shelter Service of Metropolitan Family Services DuPage,,,,IL,,Emergency Shelter
Salvation Army,,,,IL,61820,Transitional Housing
Crisis Center for South Suburbia,,,,IL,,Emergency Shelter
Pillars Community Health,,,,IL,,Emergency Shelter
Veterans Administration,,,,IL,61108,Permanent Supportive Housing
Lazarus House,,,,IL,60174,Rapid Re-Housing
Community Crisis Center,,,,IL,60121,Rapid Re-Housing
Safe Passage Inc.,,,,IL,,Permanent Supportive Housing
Shelter Care Ministries,,,,IL,61103,Rapid Re-Housing
Youth Services Network,,,,IL,61104,Transitional Housing
Shelter Care Ministries,,,,IL,61107,Transitional Housing
Youth Services Network,,,,IL,61104,Rapid Re-Housing
Shelter Care Ministries,,,,IL,61104,Emergency Shelter
Springfield Housing Authority,,,,IL,62703,Permanent Supportive Housing
Shelter Care Ministries,,,,IL,61107,Permanent Supportive Housing
Shelter Care Ministries,,,,IL,61102,Permanent Supportive Housing
Rosecrance -Ware,,,,IL,61104,Permanent Supportive Housing
Rosecrance -Ware,,,,IL,61103,Permanent Supportive Housing
PADS Crisis Services,,,,IL,60085,Permanent Supportive Housing
Most Blessed Trinity,,,,IL,,Emergency Shelter
Catholic Charities,,,,IL,60085,Permanent Supportive Housing
Sojourn Shelter & Services,,,,IL,,Emergency Shelter
Sojourn Shelter & Services,,,,IL,,Rapid Re-Housing
Salvation Army,,,,IL,62703,Rapid Re-Housing
Guardian Angel Community Services,,,,IL,,Emergency Shelter
Guardian Angel Community Services,,,,IL,,Transitional Housing
Guardian Angel Community Services,,,,IL,,Rapid Re-Housing
WINGS Program Inc.,,,,IL,,Emergency Shelter
South Suburban Family Shelter,,,,IL,,Transitional Housing
H.O.P.E.,,,,IL,,Transitional Housing
H.O.P.E.,,,,IL,,Transitional Housing
H.O.P.E.,,,,IL,,Emergency Shelter
"Embarras River Basin Agency, Inc.",400 W. Pleasant,,,IL,62428,Rapid Re-Housing
Crisis Center for South Suburbia,,,,IL,,Transitional Housing
YWCA Evanston/North Shore,,,,IL,,Emergency Shelter
Motel Voucher Jackson,,,,IN,47274,Emergency Shelter
The Julian Center,,,,IN,,Transitional Housing
The Julian Center,,,,IN,,Emergency Shelter
Center for the Homeless,813 South Michigan St.,,,IN,46601,Permanent Supportive Housing
Motel Voucher Wabash,,,,IN,46992,Emergency Shelter
Motel Voucher Scott,,,,IN,47170,Emergency Shelter
Motel Voucher Johnson,,,,IN,46142,Emergency Shelter
Motel Voucher Allen,,,,IN,46801,Emergency Shelter
Motel Voucher Jefferson,,,,IN,47250,Emergency Shelter
Motel Voucher Harrison,,,,IN,47421,Emergency Shelter
Motel Voucher Porter,,,,IN,46361,Emergency Shelter
YWCA Greater Lafayette,,,,IN,,Emergency Shelter
Indiana Housing Authority,,,,IN,46204,Permanent Supportive Housing
InteCare,,,,IN,46250,Rapid Re-Housing
Volunteers of America,,,,IN,46219,Rapid Re-Housing
Homeless Initiative Program,,,,IN,46202,Rapid Re-Housing
"Middle Way House, Inc.",,,,IN,,Transitional Housing
"Stepping Stone Shelter For Women, Inc.",,,,IN,,Transitional Housing
"Stepping Stone Shelter For Women, Inc.",,,,IN,,Emergency Shelter
"Family Service Association of Howard County, Inc.",,,,IN,46901,Rapid Re-Housing
Turning Point,,,,IN,,Transitional Housing
